13 100
55		2				6	7	8		10	11		
43		2		4		6	7	8	9		11		
50			3	4	5			8	9				13
4		2		4			7	8	9		11		13
91	1		3	4			7		9				13
86			3	4	5	6	7		9		11	12	13
84	1	2		4						10		12	13
62					5	6	7	8	9	10	11	12	
70		2	3		5			8					
80		2	3	4						10	11		13
99		2		4			7	8		10	11	12	13
53	1	2						8		10	11		13
47								8	9	10	11		
50		2		4	5		7		9	10	11		
72	1			4						10		12	
38		2			5	6		8	9	10	11	12	
43	1	2	3					8			11	12	
44					5		7				11	12	
4			3	4		6			9	10		12	13
43	1	2	3	4					9		11	12	13
54	1					6	7			10			
82	1	2		4	5	6			9	10	11		13
51	1		3				7		9		11		13
37				4	5			8	9	10			13
9	1		3					8				12	13
68		2	3	4			7		9				13
81				4	5			8	9			12	13
16				4	5		7			10			13
83	1	2									11	12	13
4	1	2	3	4	5	6	7			10	11		13
82			3		5					10			
43		2	3	4	5	6		8			11		13
57		2	3	4	5	6		8					
84					5	6	7						
88	1			4	5						11		13
36		2	3	4				8	9				13
99					5		7			10	11	12	
11	1	2				6				10	11		13
51		2	3	4		6					11		
63		2			5		7	8					
81					5	6	7	8					
67	1		3	4		6				10		12	
14		2	3	4	5		7		9			12	
42				4		6	7	8			11	12	
87	1	2			5	6	7	8		10		12	13
93	1		3	4	5	6				10			
38				4	5	6		8		10		12	13
69	1	2	3	4	5		7	8					
76	1					6					11	12	13
19		2				6					11		

